State,County,Make,Model,Count,Longitude,Latitude
WA,King,VOLKSWAGEN,ID.4,1,-122.28339,47.549285
WA,King,TESLA,MODEL Y,1,-121.8740496,47.5345546
WA,King,TESLA,MODEL X,1,-122.201905,47.61385
WA,King,KIA,NIRO,1,-122.30823,47.581975
WA,King,VOLKSWAGEN,ID.4,1,-122.38679,47.56484
WA,King,BMW,IX,1,-122.209285,47.71124
WA,Island,PORSCHE,TAYCAN,1,-122.6084879,48.0755577
WA,King,TESLA,MODEL 3,1,-122.21024,47.4797047
WA,King,KIA,EV6,1,-122.38679,47.56484
WA,Snohomish,TESLA,MODEL 3,1,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,1,-122.2504747,47.7617128
WA,King,TOYOTA,BZ4X,1,-122.329075,47.6018
WA,Snohomish,RIVIAN,R1S,1,-122.1713847,48.10433
WA,Thurston,TESLA,MODEL 3,1,-122.92145,47.045935
WA,King,AUDI,Q4,1,-122.37439,47.54468
WA,Kitsap,FORD,MUSTANG MACH-E,1,-122.5235781,47.6293323
WA,King,JEEP,WRANGLER,1,-122.21024,47.4797047
WA,Pierce,TESLA,MODEL Y,1,-122.589645,47.342345
WA,King,TESLA,MODEL Y,1,-122.16937,47.571015
WA,Snohomish,TESLA,MODEL Y,1,-122.240535,47.91139
WA,King,TESLA,MODEL Y,1,-122.3175,47.7578146
WA,King,CHEVROLET,BOLT EV,1,-122.30839,47.610365
WA,King,TESLA,MODEL Y,1,-122.2377542,47.582905
WA,Clark,NISSAN,LEAF,1,-122.589388,45.6228731
WA,King,CHEVROLET,BOLT EV,1,-122.29179,47.43473
WA,Pierce,TESLA,MODEL 3,1,-122.2987976,47.13795
WA,Thurston,VOLVO,C40,1,-122.92145,47.045935
WA,King,BMW,I4,1,-122.12302,47.67668
WA,Snohomish,TESLA,MODEL Y,1,-122.213105,47.95479
WA,Clark,TESLA,MODEL 3,1,-122.405565,45.59009
WA,King,HYUNDAI,IONIQ 5,1,-122.326965,47.55015
WA,King,RIVIAN,R1T,1,-122.03646,47.534065
WA,King,NISSAN,ARIYA,1,-122.28339,47.549285
WA,King,BMW,530E,1,-122.16937,47.571015
WA,King,TESLA,MODEL Y,1,-122.20264,47.6785
WA,Thurston,TESLA,MODEL Y,1,-122.89692,47.043535
WA,King,VOLVO,XC40,1,-122.3185,47.67949
WA,Snohomish,TESLA,MODEL 3,1,-122.2247757,47.9156409
WA,Snohomish,CHEVROLET,BOLT EUV,1,-122.179458,47.802589
WA,Kitsap,HYUNDAI,IONIQ 5,1,-122.50156,47.8019
WA,King,TESLA,MODEL 3,1,-122.319115,47.66132
WA,Clark,TESLA,MODEL Y,1,-122.66592,45.678565
WA,King,TESLA,MODEL Y,1,-122.20264,47.6785
WA,King,JEEP,WRANGLER,1,-122.20264,47.6785
WA,King,TESLA,MODEL Y,1,-122.16937,47.571015
WA,Pierce,TESLA,MODEL Y,1,-122.643815,47.097455
WA,King,VOLVO,XC40,1,-122.46049,47.44873
WA,King,TESLA,MODEL Y,1,-122.235475,47.3809
WA,Kitsap,RIVIAN,R1S,1,-122.5235781,47.6293323
WA,King,TESLA,MODEL Y,1,-122.11832,47.6245
WA,King,POLESTAR,PS2,1,-122.03309,47.58153
WA,King,VOLVO,S60,1,-122.37275,47.68968
WA,King,TESLA,MODEL 3,1,-122.30823,47.581975
WA,King,TESLA,MODEL Y,1,-122.2849393,47.3384055
WA,King,JEEP,WRANGLER,1,-122.21024,47.4797047
WA,King,MINI,HARDTOP,1,-122.151665,47.75855
WA,King,TESLA,MODEL Y,1,-122.201905,47.61385
WA,Thurston,VOLKSWAGEN,ID.4,1,-122.81709,46.988575
WA,King,CHEVROLET,BOLT EV,1,-122.29179,47.43473
WA,King,VOLKSWAGEN,ID.4,1,-122.3185,47.67949
WA,King,TESLA,MODEL Y,1,-122.319115,47.66132
WA,King,TESLA,MODEL Y,1,-122.16937,47.571015
WA,King,TESLA,MODEL Y,1,-122.2377542,47.582905
WA,King,LEXUS,NX,1,-122.29179,47.43473
WA,Clark,RIVIAN,R1T,1,-122.74291,45.818445
WA,King,TESLA,MODEL Y,1,-122.28339,47.549285
WA,King,TESLA,MODEL Y,1,-122.363215,47.3084
WA,Whatcom,HYUNDAI,IONIQ 5,1,-122.4569227,48.7470973
WA,Clallam,HYUNDAI,IONIQ 5,1,-123.46101,48.118925
WA,King,HYUNDAI,IONIQ 5,1,-122.356145,47.52104
WA,Skagit,TESLA,MODEL Y,1,-122.615305,48.501275
WA,Clark,TESLA,MODEL 3,1,-122.405565,45.59009
WA,King,CHRYSLER,PACIFICA,1,-122.21024,47.4797047
WA,King,TESLA,MODEL 3,1,-122.12302,47.67668
WA,King,TESLA,MODEL 3,1,-122.111625,47.36078
WA,Skagit,CHEVROLET,BOLT EUV,1,-122.234180327,48.461412932
WA,Thurston,FORD,TRANSIT,1,-122.89692,47.043535
WA,King,TESLA,MODEL Y,1,-122.37439,47.54468
WA,King,VOLVO,S60,1,-122.30839,47.610365
WA,King,BMW,I4,1,-122.344125,47.61546
WA,King,RIVIAN,R1S,1,-122.03309,47.58153
WA,King,TESLA,MODEL 3,1,-122.1820969,47.3198995
WA,King,FORD,MUSTANG MACH-E,1,-122.30839,47.610365
